gene_id,transcript_id,aRG/Outer radial glia,Newborn DL PN,aRG (cycling progenitors),Intermediate Progenitors (IP),Preplate/Subplate neurons,unknown,apical radial glia (aRG),Cortical hem,Deep Layer projection neurons (DL PN),Cajal Retzius Cells,Subcortical progenitors
ENSG00000116544,ENST00000235180.4,0.003965217345016441,0.06800942037222174,0.002198450525182173,0.006324669956917536,0.01565894438056238,0.006224006830623928,0,0,0.023134673320033262,0.03001458610745405,0
ENSG00000218739,ENST00000392061.6,0.10474803662402615,0.09128842272994299,0.08754324969697214,0.07577393227545443,0.1222612327286289,0,0.09566072356255302,0.20953613654604952,0.13939067177956774,0.16855943853570354,0.15611691433168243
ENSG00000144395,ENST00000463826.5,0.002152583588896822,0.005983608642106445,0.062421668798005196,0.04271475280467135,0.0062341841882775926,0,0.009590687799158027,0.004388019044254986,0,0,0.010368391333235178
ENSG00000115825,ENST00000379066.5,0.19862192832169417,0.12925311096274397,0.2011044043566844,0.22285366159131467,0.06629081939158495,0.07912606619336464,0.20661524567383158,0.18949361874183415,0.035217536067617364,0.035585713685139346,0.221568825321106
ENSG00000121964,ENST00000392867.7,0.04137724838561875,0.0033408733823507833,0.010776295900660439,0.002672074699891695,0.007841166385356283,0,0.001633842667420798,0.007365095787443345,0.03527841056049561,0,0.011307647739331298
ENSG00000065413,ENST00000463879.1,0.027785435055870576,0.01643211171297474,0.025855590290668768,0.022854715402690896,0.010230570596523797,0,0.028776952388586706,0.003782343965580238,0.0500535612343796,0,0.004968454662275914
ENSG00000076242,ENST00000231790.8,0.04742745617857736,0.04060931703802876,0.14967878515882982,0.08797069970900592,0.051248707139726436,0.003112003415311964,0.08946143709898777,0.05238756599768652,0.04781834655821913,0.03425916324165518,0.2175266342937955
ENSG00000164081,ENST00000341333.10,0.14496144071962286,0.056296488743460237,0.1407665319653721,0.012173270128576462,0.10964154888231664,0.10884376907970822,0.1567032038530629,0.2828177917890819,0.10832507399411573,0.12580893238089144,0.12563704260013295
ENSG00000164082,ENST00000464585.1,0,0.0681589281986756,0.001873742042244938,0.004232289690983329,0.016116627133477487,0,0,0.010194527098677927,0.0494947229309352,0.18243868262397003,0.003791447761696804
ENSG00000243989,ENST00000636358.2,0,0.0014064624845208035,1.1486956758113398e-4,0.0024209303862835992,7.698611530932843e-4,0,0,0.019640690427282934,0,0,0
ENSG00000163938,ENST00000418458.6,0.659817969299087,0.2328825227694482,0.34078949325161667,0.520550338016279,0.2008105977944279,0.32270398472245204,0.5506433934470505,0.2527195514753048,0.3595331234866746,0.15447900968451606,0.3666011969044756
ENSG00000131374,ENST00000253692.11,0.1806967217739856,0.19878570173971036,0.2910397940442212,0.15270890416911603,0.0911503460470966,0.011282894091046406,0.1929887126203839,0.16282268177648215,0.09647855731743661,0.05483106474996426,0.2457843847726105
ENSG00000067560,ENST00000418115.6,0.6060656788609367,0.5346613236814798,0.9428099921514778,0.7772700804999928,0.5764625394238894,0.6977921820014352,0.7968071475741175,1.1508192240454491,0.45283199436961824,0.5843627372463559,1.0800779260849742
ENSG00000162244,ENST00000648640.1,0.11580432180310044,0.04713527621533967,0.11184318413829632,0.12118229699437988,0.058102061026758994,0.15661063210914383,0.13780455174588427,0.07959578705535122,0.11743434226073492,0.05319603019528099,0.07024937268163715
ENSG00000120727,ENST00000265192.9,1.2454668338220498,1.742796736465817,1.786682683589937,2.1737900152960123,2.2693969845033326,1.758612930507725,1.5111617707510112,1.413101377743169,1.3733454594486065,2.93940096811791,2.318174238542277
ENSG00000146007,ENST00000274712.8,0.5003366095418171,0.9609824006905723,0.7431955059505488,0.995767550610602,1.0597041319239713,0.7017321881630977,0.7716811634236594,0.6744899425807676,1.219463886493966,1.1544701438031546,0.7756098885908577
ENSG00000215217,ENST00000509627.1,0.008039672338007887,0.013844958822286898,0.004125978648656589,0,0.0023938288486355214,0,0.009015331029018765,0.021884720645678934,0.003004942370570509,0.02090777263662375,0.004823651960842764
ENSG00000152377,ENST00000282223.11,0.06190715243474363,0.013305144417031515,0.09313855998367737,0.0458509595528588,0.05723077676232072,0.014244040656130351,0.12958090067939623,0.015707738773486263,0.09171996408844602,0,0.007153161617926478
ENSG00000206503,ENST00000376809.10,0.17745360762073573,0.03211811568249548,0.13146058941439528,0.06394924412863245,0.050518217915004174,0.06969086694998303,0.127739029902479,0.12323791150378878,0.04410014017340974,0.17309338707289884,0.14482044542051695
ENSG00000204592,ENST00000376630.5,0.2667148607535665,0.010156098443588592,0.09067864124297141,0.04214952429373318,0.025924923757053374,0,0.11917326267428292,0.3028988147160928,0.0020182718548601066,0,0.13685510360087022
ENSG00000124507,ENST00000538621.2,0,0.001758805373945545,0.0017132761840392122,0.0014361506482132899,0.0018109724867015377,0,0,3.151652373467899e-4,0.01359792111964225,0.006278782610630976,0
ENSG00000112655,ENST00000470019.5,0.05437255429094829,0.05341082739300501,0.041171352890875076,0.0440877714243377,0.013875657441370618,0.021655570506340364,0.031006808972387865,0.06206838434753141,0.03460533664066248,0.014253892877772529,0.07054855504017377
ENSG00000204310,ENST00000490711.5,0.060048791886277715,0.09836226470795428,0.06350185388873959,0.09228977660322525,0.1290884521330588,0.09609771561208579,0.09164506907659721,0.1172647964920262,0.16670712014519437,0.07545898807399254,0.13350513466691494
ENSG00000198517,ENST00000343242.9,0.038409348465441875,0.02459437334123701,0.021109857772696597,0.007974560246769503,0.030020673444213886,0.029583170878050912,0.023744551052884897,0.07200778681259239,0.035980858901779884,0.01670576129421483,0.005165856945844288
ENSG00000136295,ENST00000403167.5,0.17687521779126095,0.20013514452040906,0.2635816663370458,0.12558018153980618,0.17800865202254798,0.08449105861967057,0.1903478111807912,0.15322440089352674,0.19429123295978226,0.33024572296463556,0.15562902300743336
