gene_id,transcript_id,Interneurons (IN),CPN,Astroglia,oRG/Astroglia,IP,oRG/Oligo progenitors (cycling),oRG (cycling progenitors),Oligo progenitors
ENSG00000144028,ENST00000323853.10,0.5858710785309801,0.4309796227461347,1.083074164831611,0.7962585227042728,0.5614264868556433,0.7557412191984699,0.963994030559611,0.5772496730906015
ENSG00000138399,ENST00000445210.1,0.042947755422825244,0.17765967643532576,0.027699773751370532,0.05934996538745404,0.0810557056752903,0.09984748326120892,0.05023326927249541,0.09489139208260344
ENSG00000076242,ENST00000673715.1,0.00644885413981964,3.135991927606129e-4,0,0.0034564732955316693,0,0.02177460917090027,0.02771401005308168,0.00276972071208773
ENSG00000173992,ENST00000530384.5,0.09790590779423192,0.08761019036562154,0.11727039755118798,0.18524464926833425,0.10885340516250488,0.11477043406087588,0.0333746614172998,0.1233353065614097
ENSG00000172830,ENST00000376757.9,8.392165933617748e-4,0.0025631051079951844,0.005145636655128611,0.009990801435237827,0.013841967965273722,0.0019880534015726194,0.005594525145152896,0
ENSG00000168056,ENST00000529582.6,0.017875997125166142,0.009643508763879666,0.012941973185648431,0.03528362084104869,0.027535429875988376,0.02770757443503534,0.024284372992880963,0.0315477617006809
ENSG00000110697,ENST00000534749.5,0.005235143557658605,0.04459896186839278,0.017213297133135345,0.02846996715873014,0.015877865923452545,0.006751852207057829,0.014953519951425397,0.007256830395630452
ENSG00000110697,ENST00000527370.5,0.0041030160275983135,0.11450356802241936,0.015526480382567143,0.026520181009057623,0.0039037019616817285,0.004639532676785,0.006878499862939693,0.007256830395630452
ENSG00000092531,ENST00000249647.8,0.0887757396633978,0.08654716565382203,0.13822312162156788,0.24398196894496743,0.09643248136315744,0.1227192705690948,0.10003230246108498,0.27696611552877237
ENSG00000197696,ENST00000360476.8,0.6014992407777642,0.7957857616796605,4.787383194188236,10.12986343821038,0.6668352745380027,0.5549840713869734,0.7852162469129704,0.43693818524715317
ENSG00000175906,ENST00000320033.5,2.7170721649163014,0.4924016062811208,0.9473886213801387,0.1473802018119385,0.532171185567839,1.224133429876913,0.8799265407426807,0.13999492228227567
ENSG00000168734,ENST00000372889.5,0.012469384644298101,0.006976660761090183,0.01735943662314969,0.022806172247066166,0.016375049887041956,0.007393544462899589,0.013900645786791527,0.008083187351956326
